pollster,start_date,end_date,sample_size,population,cycle,office_type,election_date,DEM,GOP
Ipsos,2018-06-09,2018-06-13,2479,A,2018,House,2018-11-06,39.4,32.1
Ipsos,2018-06-09,2018-06-13,2092,RV,2018,House,2018-11-06,43.8,36
YouGov,2018-06-10,2018-06-12,1299,RV,2018,House,2018-11-06,43,37
Ipsos,2018-06-08,2018-06-12,2373,A,2018,House,2018-11-06,40,31.4
Ipsos,2018-06-08,2018-06-12,2017,RV,2018,House,2018-11-06,44.6,35.3
Pew Research Center,2018-06-05,2018-06-12,1608,RV,2018,House,2018-11-06,48,43
Ipsos,2018-06-07,2018-06-11,1552,A,2018,House,2018-11-06,38.9,31.1
Ipsos,2018-06-07,2018-06-11,1335,RV,2018,House,2018-11-06,43.4,34.8
Public Policy Polling,2018-06-08,2018-06-10,679,RV,2018,House,2018-11-06,46,40
Morning Consult,2018-06-07,2018-06-10,1994,RV,2018,House,2018-11-06,43,38
Ipsos,2018-06-06,2018-06-10,1496,A,2018,House,2018-11-06,40.2,32.2
Ipsos,2018-06-06,2018-06-10,1291,RV,2018,House,2018-11-06,44.5,35.5
Ipsos,2018-06-05,2018-06-09,1541,A,2018,House,2018-11-06,40.2,30.6
Ipsos,2018-06-05,2018-06-09,1315,RV,2018,House,2018-11-06,44.7,34
Ipsos,2018-06-04,2018-06-08,1559,A,2018,House,2018-11-06,38.7,29.8
Ipsos,2018-06-04,2018-06-08,1310,RV,2018,House,2018-11-06,43.6,34
Ipsos,2018-06-03,2018-06-07,1583,A,2018,House,2018-11-06,39,30.1
Ipsos,2018-06-03,2018-06-07,1322,RV,2018,House,2018-11-06,43.3,34.3
Rasmussen (Pulse Opinion Research),2018-06-03,2018-06-07,2500,LV,2018,House,2018-11-06,44,40
Fox News/Beacon Research/Shaw & Co. Research,2018-06-03,2018-06-06,1001,RV,2018,House,2018-11-06,48,39
Ipsos,2018-06-02,2018-06-06,1512,A,2018,House,2018-11-06,39.2,30
Ipsos,2018-06-02,2018-06-06,1247,RV,2018,House,2018-11-06,43.6,34.3
YouGov,2018-06-03,2018-06-05,1287,RV,2018,House,2018-11-06,44,38
Ipsos,2018-06-01,2018-06-05,1534,A,2018,House,2018-11-06,38,28.5
Ipsos,2018-06-01,2018-06-05,1266,RV,2018,House,2018-11-06,42.6,32.5
GQR Research (GQRR),2018-06-01,2018-06-05,1400,RV,2018,House,2018-11-06,51,42
Quinnipiac University,2018-05-31,2018-06-05,1223,RV,2018,House,2018-11-06,47,40
IBD/TIPP,2018-05-29,2018-06-05,,RV,2018,House,2018-11-06,47,40
Hart Research Associates/Public Opinion Strategies,2018-06-01,2018-06-04,900,RV,2018,House,2018-11-06,50,40
Ipsos,2018-05-31,2018-06-04,1593,A,2018,House,2018-11-06,37.4,29.7
Ipsos,2018-05-31,2018-06-04,1310,RV,2018,House,2018-11-06,41.6,33.9
Morning Consult,2018-05-31,2018-06-04,1990,RV,2018,House,2018-11-06,44,37
Ipsos,2018-05-30,2018-06-03,1627,A,2018,House,2018-11-06,37.3,32.1
Ipsos,2018-05-30,2018-06-03,1353,RV,2018,House,2018-11-06,41.6,36.2
Ipsos,2018-05-29,2018-06-02,2048,A,2018,House,2018-11-06,36.3,31.3
Ipsos,2018-05-29,2018-06-02,1681,RV,2018,House,2018-11-06,40.9,35.4
Winston,2018-05-31,2018-06-01,1000,RV,2018,House,2018-11-06,45,42
Ipsos,2018-05-28,2018-06-01,2095,A,2018,House,2018-11-06,36.1,31.2
Ipsos,2018-05-28,2018-06-01,1723,RV,2018,House,2018-11-06,40.6,35.5
Ipsos,2018-05-27,2018-05-31,2161,A,2018,House,2018-11-06,35.7,31.9
Ipsos,2018-05-27,2018-05-31,1777,RV,2018,House,2018-11-06,40.3,36.6
Rasmussen (Pulse Opinion Research),2018-05-27,2018-05-31,2500,LV,2018,House,2018-11-06,45,41
Ipsos,2018-05-26,2018-05-30,2144,A,2018,House,2018-11-06,36.1,31
Ipsos,2018-05-26,2018-05-30,1752,RV,2018,House,2018-11-06,41.8,35.5
YouGov,2018-05-14,2018-05-30,3146,RV,2018,House,2018-11-06,45,38
YouGov,2018-05-27,2018-05-29,1268,RV,2018,House,2018-11-06,42,39
Ipsos,2018-05-25,2018-05-29,2354,A,2018,House,2018-11-06,36.1,30.2
Ipsos,2018-05-25,2018-05-29,1933,RV,2018,House,2018-11-06,41.5,34.8
Morning Consult,2018-05-23,2018-05-29,1995,RV,2018,House,2018-11-06,42,37
Ipsos,2018-05-24,2018-05-28,1898,A,2018,House,2018-11-06,37,30.6
Ipsos,2018-05-24,2018-05-28,1572,RV,2018,House,2018-11-06,42.7,35.1
Ipsos,2018-05-23,2018-05-27,1923,A,2018,House,2018-11-06,36.7,31.2
Ipsos,2018-05-23,2018-05-27,1589,RV,2018,House,2018-11-06,42,35.5
Ipsos,2018-05-22,2018-05-26,1911,A,2018,House,2018-11-06,37,31.5
Ipsos,2018-05-22,2018-05-26,1579,RV,2018,House,2018-11-06,41.6,35.5
Rasmussen (Pulse Opinion Research),2018-05-21,2018-05-25,2500,LV,2018,House,2018-11-06,43,42
Ipsos,2018-05-21,2018-05-25,1727,A,2018,House,2018-11-06,37.2,31.9
Ipsos,2018-05-21,2018-05-25,1440,RV,2018,House,2018-11-06,40.9,35.6
Ipsos,2018-05-20,2018-05-24,1453,A,2018,House,2018-11-06,38.7,31.4
Ipsos,2018-05-20,2018-05-24,1207,RV,2018,House,2018-11-06,41.6,34.4
Garin-Hart-Yang Research Group,2018-05-18,2018-05-24,1003,LV,2018,House,2018-11-06,43,38
Ipsos,2018-05-19,2018-05-23,1391,A,2018,House,2018-11-06,37.8,32.1
Ipsos,2018-05-19,2018-05-23,1150,RV,2018,House,2018-11-06,39.9,35.4
Harris Insights & Analytics,2018-05-21,2018-05-22,1347,RV,2018,House,2018-11-06,44,37
YouGov,2018-05-20,2018-05-22,1258,RV,2018,House,2018-11-06,43,38
Morning Consult,2018-05-18,2018-05-22,1993,RV,2018,House,2018-11-06,43,37
Ipsos,2018-05-18,2018-05-22,1298,A,2018,House,2018-11-06,37.9,33.1
Ipsos,2018-05-18,2018-05-22,1083,RV,2018,House,2018-11-06,40,36.9
Ipsos,2018-05-17,2018-05-21,1038,RV,2018,House,2018-11-06,38,37.7
Ipsos,2018-05-17,2018-05-21,1250,A,2018,House,2018-11-06,35.9,33.3
McLaughlin & Associates,2018-05-16,2018-05-21,1000,LV,2018,House,2018-11-06,45,43
Ipsos,2018-05-16,2018-05-20,1131,RV,2018,House,2018-11-06,37,38.6
Ipsos,2018-05-16,2018-05-20,1354,A,2018,House,2018-11-06,35,33.8
Morning Consult,2018-05-17,2018-05-19,1990,RV,2018,House,2018-11-06,42,36
Ipsos,2018-05-15,2018-05-19,1134,RV,2018,House,2018-11-06,36,41.1
Ipsos,2018-05-15,2018-05-19,1358,A,2018,House,2018-11-06,33.9,35.7
Ipsos,2018-05-14,2018-05-18,1263,RV,2018,House,2018-11-06,35.2,40.8
Ipsos,2018-05-14,2018-05-18,1488,A,2018,House,2018-11-06,32.2,35.7
Ipsos,2018-05-13,2018-05-17,1338,RV,2018,House,2018-11-06,36.7,38.1
Ipsos,2018-05-13,2018-05-17,1556,A,2018,House,2018-11-06,33.6,34.2
Rasmussen (Pulse Opinion Research),2018-05-13,2018-05-17,2500,LV,2018,House,2018-11-06,43,42
Pew Research Center,2018-04-25,2018-05-17,1595,RV,2018,House,2018-11-06,53,39
Pew Research Center,2018-04-25,2018-05-17,1165,RV,2018,House,2018-11-06,50,42
Ipsos,2018-05-12,2018-05-16,1247,RV,2018,House,2018-11-06,37.5,36.4
Ipsos,2018-05-12,2018-05-16,1436,A,2018,House,2018-11-06,34.3,33.8
YouGov,2018-05-13,2018-05-15,1226,RV,2018,House,2018-11-06,42,37
Ipsos,2018-05-11,2018-05-15,1290,RV,2018,House,2018-11-06,37.8,37.1
Ipsos,2018-05-11,2018-05-15,1491,A,2018,House,2018-11-06,35.1,34.1
Ipsos,2018-05-10,2018-05-14,1340,RV,2018,House,2018-11-06,38.2,35.6
Ipsos,2018-05-10,2018-05-14,1541,A,2018,House,2018-11-06,35.4,33.4
Morning Consult,2018-05-10,2018-05-14,1993,RV,2018,House,2018-11-06,43,38
Ipsos,2018-05-09,2018-05-13,1319,RV,2018,House,2018-11-06,39.2,35
Ipsos,2018-05-09,2018-05-13,1521,A,2018,House,2018-11-06,36.9,32.3
Zogby,2018-05-10,2018-05-12,881,LV,2018,House,2018-11-06,40,33
Ipsos,2018-05-08,2018-05-12,1275,RV,2018,House,2018-11-06,39,35.5
Ipsos,2018-05-08,2018-05-12,1480,A,2018,House,2018-11-06,36.7,32.1
Ipsos,2018-05-07,2018-05-11,1327,RV,2018,House,2018-11-06,39,37.2
Ipsos,2018-05-07,2018-05-11,1535,A,2018,House,2018-11-06,37.1,33.6
Ipsos,2018-05-06,2018-05-10,1317,RV,2018,House,2018-11-06,39.3,36.7
Ipsos,2018-05-06,2018-05-10,1529,A,2018,House,2018-11-06,37,33.5
Rasmussen (Pulse Opinion Research),2018-05-06,2018-05-10,2500,LV,2018,House,2018-11-06,46,40
Ipsos,2018-05-05,2018-05-09,1230,RV,2018,House,2018-11-06,39.6,37.3
Ipsos,2018-05-05,2018-05-09,1431,A,2018,House,2018-11-06,37.2,34.1
YouGov,2018-05-06,2018-05-08,1228,RV,2018,House,2018-11-06,44,35
Ipsos,2018-05-04,2018-05-08,1173,RV,2018,House,2018-11-06,39.2,37.9
Ipsos,2018-05-04,2018-05-08,1367,A,2018,House,2018-11-06,36.1,34.6
Ipsos,2018-05-03,2018-05-07,1387,A,2018,House,2018-11-06,36.6,35
Ipsos,2018-05-03,2018-05-07,1197,RV,2018,House,2018-11-06,39.2,37.8
CBS News,2018-05-03,2018-05-06,1101,A,2018,House,2018-11-06,50,41
Ipsos,2018-05-02,2018-05-06,1394,A,2018,House,2018-11-06,36.5,33.6
Ipsos,2018-05-02,2018-05-06,1205,RV,2018,House,2018-11-06,39.5,36.3
Morning Consult,2018-05-03,2018-05-05,1992,RV,2018,House,2018-11-06,42,35
SSRS,2018-05-02,2018-05-05,901,RV,2018,House,2018-11-06,47,44
Ipsos,2018-05-01,2018-05-05,1365,A,2018,House,2018-11-06,35.9,34.4
Ipsos,2018-05-01,2018-05-05,1194,RV,2018,House,2018-11-06,39.3,37.8
Ipsos,2018-04-30,2018-05-04,1431,A,2018,House,2018-11-06,37.2,33.3
Ipsos,2018-04-30,2018-05-04,1248,RV,2018,House,2018-11-06,40.8,37.2
Ipsos,2018-04-29,2018-05-03,1238,RV,2018,House,2018-11-06,40.6,37
Ipsos,2018-04-29,2018-05-03,1423,A,2018,House,2018-11-06,37.2,33
Ipsos,2018-04-28,2018-05-02,1241,RV,2018,House,2018-11-06,41.1,37.5
Ipsos,2018-04-28,2018-05-02,1429,A,2018,House,2018-11-06,37.6,33.5
YouGov,2018-04-29,2018-05-01,1259,RV,2018,House,2018-11-06,42,39
Ipsos,2018-04-27,2018-05-01,1339,RV,2018,House,2018-11-06,42.6,37.4
Ipsos,2018-04-27,2018-05-01,1550,A,2018,House,2018-11-06,39,34.1
Morning Consult,2018-04-26,2018-05-01,1991,RV,2018,House,2018-11-06,43,34
Pew Research Center,2018-04-25,2018-05-01,1221,RV,2018,House,2018-11-06,48,43
Pew Research Center,2018-04-25,2018-05-01,1221,RV,2018,House,2018-11-06,48,44
Winston,2018-04-28,2018-04-30,1000,RV,2018,House,2018-11-06,48,41
Monmouth University,2018-04-26,2018-04-30,681,RV,2018,House,2018-11-06,49,41
Ipsos,2018-04-26,2018-04-30,1977,RV,2018,House,2018-11-06,42.8,35.2
Ipsos,2018-04-26,2018-04-30,2364,A,2018,House,2018-11-06,38.3,31.5
Kaiser Family Foundation,2018-04-20,2018-04-30,1655,RV,2018,House,2018-11-06,46,38
Ipsos,2018-04-25,2018-04-29,1943,RV,2018,House,2018-11-06,42,35.4
Ipsos,2018-04-25,2018-04-29,2348,A,2018,House,2018-11-06,37.7,31.5
Ipsos,2018-04-24,2018-04-28,1979,RV,2018,House,2018-11-06,42.4,35.1
Ipsos,2018-04-24,2018-04-28,2392,A,2018,House,2018-11-06,37.9,31.3
Ipsos,2018-04-23,2018-04-27,1988,RV,2018,House,2018-11-06,43.5,33.9
Ipsos,2018-04-23,2018-04-27,2418,A,2018,House,2018-11-06,38.7,30.1
Ipsos,2018-04-22,2018-04-26,1891,RV,2018,House,2018-11-06,44.1,33.2
Ipsos,2018-04-22,2018-04-26,2321,A,2018,House,2018-11-06,38.9,29.1
Ipsos,2018-04-21,2018-04-25,1226,RV,2018,House,2018-11-06,44.7,34.4
Ipsos,2018-04-21,2018-04-25,1510,A,2018,House,2018-11-06,39.6,30.3
YouGov,2018-04-22,2018-04-24,1265,RV,2018,House,2018-11-06,43,38
Harris Insights & Analytics,2018-04-22,2018-04-24,1549,RV,2018,House,2018-11-06,43,34
Quinnipiac University,2018-04-20,2018-04-24,1193,RV,2018,House,2018-11-06,48,40
Ipsos,2018-04-20,2018-04-24,1248,RV,2018,House,2018-11-06,45,33.6
Ipsos,2018-04-20,2018-04-24,1522,A,2018,House,2018-11-06,40.4,29.2
Ipsos,2018-04-19,2018-04-23,1283,RV,2018,House,2018-11-06,43.6,35.2
Ipsos,2018-04-19,2018-04-23,1552,A,2018,House,2018-11-06,39.2,30.7
Morning Consult,2018-04-19,2018-04-23,1993,RV,2018,House,2018-11-06,44,35
Ipsos,2018-04-18,2018-04-22,1231,RV,2018,House,2018-11-06,42.2,35.3
Ipsos,2018-04-18,2018-04-22,1504,A,2018,House,2018-11-06,37.5,30
McLaughlin & Associates,2018-04-17,2018-04-22,1000,LV,2018,House,2018-11-06,43,43
Ipsos,2018-04-17,2018-04-21,1209,RV,2018,House,2018-11-06,40.4,35.4
Ipsos,2018-04-17,2018-04-21,1471,A,2018,House,2018-11-06,36.5,30.7
Ipsos,2018-04-16,2018-04-20,1244,RV,2018,House,2018-11-06,42,35.7
Ipsos,2018-04-16,2018-04-20,1494,A,2018,House,2018-11-06,38,31
Ipsos,2018-04-15,2018-04-19,1260,RV,2018,House,2018-11-06,42.4,35.6
Ipsos,2018-04-15,2018-04-19,1516,A,2018,House,2018-11-06,37.8,31.3
Ipsos,2018-04-14,2018-04-18,1206,RV,2018,House,2018-11-06,44.8,33.1
Ipsos,2018-04-14,2018-04-18,1471,A,2018,House,2018-11-06,39.3,29.3
YouGov,2018-04-15,2018-04-17,1274,RV,2018,House,2018-11-06,43,38
Ipsos,2018-04-13,2018-04-17,1239,RV,2018,House,2018-11-06,43.9,34.4
Ipsos,2018-04-13,2018-04-17,1511,A,2018,House,2018-11-06,39.1,30.7
Morning Consult,2018-04-12,2018-04-17,1917,RV,2018,House,2018-11-06,43,36
Ipsos,2018-04-12,2018-04-16,1268,RV,2018,House,2018-11-06,44.2,35.2
Ipsos,2018-04-12,2018-04-16,1554,A,2018,House,2018-11-06,39.5,31.1
Ipsos,2018-04-11,2018-04-15,1281,RV,2018,House,2018-11-06,45,35
Ipsos,2018-04-11,2018-04-15,1574,A,2018,House,2018-11-06,41.1,30.3
Ipsos,2018-04-10,2018-04-14,1267,RV,2018,House,2018-11-06,45.1,34.7
Ipsos,2018-04-10,2018-04-14,1553,A,2018,House,2018-11-06,40.9,30.2
Marist College,2018-04-10,2018-04-13,827,RV,2018,House,2018-11-06,44,39
Ipsos,2018-04-09,2018-04-13,1293,RV,2018,House,2018-11-06,43.1,36
Ipsos,2018-04-09,2018-04-13,1573,A,2018,House,2018-11-06,39.5,31
Ipsos,2018-04-08,2018-04-12,1273,RV,2018,House,2018-11-06,43.5,35.1
Ipsos,2018-04-08,2018-04-12,1541,A,2018,House,2018-11-06,39.8,29.9
Washington Post/George Mason,2018-04-08,2018-04-11,865,RV,2018,House,2018-11-06,47,43
Washington Post/George Mason,2018-04-08,2018-04-11,1002,A,2018,House,2018-11-06,50,40
Hart Research Associates/Public Opinion Strategies,2018-04-08,2018-04-11,720,RV,2018,House,2018-11-06,47,40
Ipsos,2018-04-07,2018-04-11,1257,RV,2018,House,2018-11-06,44.5,34.4
Ipsos,2018-04-07,2018-04-11,1504,A,2018,House,2018-11-06,40.5,29.7
YouGov,2018-04-08,2018-04-10,1292,RV,2018,House,2018-11-06,44,36
Ipsos,2018-04-06,2018-04-10,1220,RV,2018,House,2018-11-06,43.5,33.6
Ipsos,2018-04-06,2018-04-10,1466,A,2018,House,2018-11-06,37.9,29.7
Rasmussen (Pulse Opinion Research),2018-04-08,2018-04-09,1000,LV,2018,House,2018-11-06,45,40
Quinnipiac University,2018-04-06,2018-04-09,1181,RV,2018,House,2018-11-06,46,43
Ipsos,2018-04-05,2018-04-09,1230,RV,2018,House,2018-11-06,42.8,33.2
Ipsos,2018-04-05,2018-04-09,1480,A,2018,House,2018-11-06,38,29.2
Ipsos,2018-04-04,2018-04-08,1253,RV,2018,House,2018-11-06,45.3,31.7
Ipsos,2018-04-04,2018-04-08,1516,A,2018,House,2018-11-06,39.7,27.7
Morning Consult,2018-04-05,2018-04-07,1994,RV,2018,House,2018-11-06,42,36
Ipsos,2018-04-03,2018-04-07,1247,RV,2018,House,2018-11-06,45.8,32.1
Ipsos,2018-04-03,2018-04-07,1511,A,2018,House,2018-11-06,39.4,28.4
Ipsos,2018-04-02,2018-04-06,1459,RV,2018,House,2018-11-06,43.3,33.1
Ipsos,2018-04-02,2018-04-06,1768,A,2018,House,2018-11-06,37.9,28.7
Ipsos,2018-04-01,2018-04-05,1454,RV,2018,House,2018-11-06,43.1,32.7
Ipsos,2018-04-01,2018-04-05,1761,A,2018,House,2018-11-06,37.8,28.4
Ipsos,2018-03-31,2018-04-04,1444,RV,2018,House,2018-11-06,44.1,32.7
Ipsos,2018-03-31,2018-04-04,1750,A,2018,House,2018-11-06,38.3,28.4
YouGov,2018-04-01,2018-04-03,1244,RV,2018,House,2018-11-06,43,36
Ipsos,2018-03-30,2018-04-03,1520,RV,2018,House,2018-11-06,42.8,34
Ipsos,2018-03-30,2018-04-03,1838,A,2018,House,2018-11-06,37.1,29.7
Ipsos,2018-03-29,2018-04-02,1907,A,2018,House,2018-11-06,38,30.3
Ipsos,2018-03-29,2018-04-02,1576,RV,2018,House,2018-11-06,43,34.6
GQR Research (GQRR),2018-03-25,2018-04-02,1000,RV,2018,House,2018-11-06,48,38
GQR Research (GQRR),2018-03-25,2018-04-02,699,LV,2018,House,2018-11-06,47,41
Morning Consult,2018-03-29,2018-04-01,1997,RV,2018,House,2018-11-06,41,37
Ipsos,2018-03-28,2018-04-01,1621,A,2018,House,2018-11-06,38.3,31.2
Ipsos,2018-03-28,2018-04-01,1328,RV,2018,House,2018-11-06,44.2,35.1
Winston,2018-03-30,2018-03-31,1000,RV,2018,House,2018-11-06,46,39
Ipsos,2018-03-27,2018-03-31,1703,A,2018,House,2018-11-06,39.4,31.2
Ipsos,2018-03-27,2018-03-31,1404,RV,2018,House,2018-11-06,45.3,34.8
Ipsos,2018-03-26,2018-03-30,1769,A,2018,House,2018-11-06,39.4,32.8
Ipsos,2018-03-26,2018-03-30,1451,RV,2018,House,2018-11-06,44.8,36.8
Harris Insights & Analytics,2018-03-27,2018-03-29,1340,RV,2018,House,2018-11-06,45,34
Ipsos,2018-03-25,2018-03-29,1325,RV,2018,House,2018-11-06,42.9,38.4
Ipsos,2018-03-25,2018-03-29,1627,A,2018,House,2018-11-06,38.1,34.1
Ipsos,2018-03-24,2018-03-28,1289,RV,2018,House,2018-11-06,42.6,36.8
Ipsos,2018-03-24,2018-03-28,1564,A,2018,House,2018-11-06,38.3,32.6
Morning Consult,2018-03-26,2018-03-27,1997,RV,2018,House,2018-11-06,41,37
YouGov,2018-03-25,2018-03-27,1330,RV,2018,House,2018-11-06,42,35
Ipsos,2018-03-23,2018-03-27,1393,RV,2018,House,2018-11-06,41.6,35.5
Ipsos,2018-03-23,2018-03-27,1672,A,2018,House,2018-11-06,37.8,31.4
Ipsos,2018-03-22,2018-03-26,2244,RV,2018,House,2018-11-06,41.2,34.3
Ipsos,2018-03-22,2018-03-26,2711,A,2018,House,2018-11-06,36.9,29.9
Public Policy Polling,2018-03-23,2018-03-25,846,RV,2018,House,2018-11-06,50,39
SSRS,2018-03-22,2018-03-25,913,RV,2018,House,2018-11-06,50,44
Ipsos,2018-03-21,2018-03-25,2760,RV,2018,House,2018-11-06,40.9,33.8
Ipsos,2018-03-21,2018-03-25,3329,A,2018,House,2018-11-06,36.6,29.3
Public Religion Research Institute,2018-03-14,2018-03-25,2020,A,2018,House,2018-11-06,42,36
Ipsos,2018-03-20,2018-03-24,2809,RV,2018,House,2018-11-06,41.3,33.6
Ipsos,2018-03-20,2018-03-24,3383,A,2018,House,2018-11-06,37,29.1
Ipsos,2018-03-19,2018-03-23,2848,RV,2018,House,2018-11-06,41.6,33.7
Ipsos,2018-03-19,2018-03-23,3443,A,2018,House,2018-11-06,37,28.9
Ipsos,2018-03-18,2018-03-22,2757,RV,2018,House,2018-11-06,41.8,34
Ipsos,2018-03-18,2018-03-22,3354,A,2018,House,2018-11-06,37,29
Marist College,2018-03-19,2018-03-21,1015,RV,2018,House,2018-11-06,44,39
Fox News/Beacon Research/Shaw & Co. Research,2018-03-18,2018-03-21,1014,RV,2018,House,2018-11-06,46,41
Ipsos,2018-03-17,2018-03-21,1869,RV,2018,House,2018-11-06,40.6,35.7
Ipsos,2018-03-17,2018-03-21,2274,A,2018,House,2018-11-06,36.3,29.9
YouGov,2018-03-18,2018-03-20,1284,RV,2018,House,2018-11-06,44,38
Quinnipiac University,2018-03-16,2018-03-20,1291,RV,2018,House,2018-11-06,49,43
Ipsos,2018-03-16,2018-03-20,1342,RV,2018,House,2018-11-06,40.2,36.9
Ipsos,2018-03-16,2018-03-20,1625,A,2018,House,2018-11-06,35.7,30.4
Ipsos,2018-03-15,2018-03-19,1264,RV,2018,House,2018-11-06,41.1,37
Ipsos,2018-03-15,2018-03-19,1548,A,2018,House,2018-11-06,36.1,31.1
Morning Consult,2018-03-15,2018-03-19,1994,RV,2018,House,2018-11-06,42,38
McLaughlin & Associates,2018-03-14,2018-03-19,1000,LV,2018,House,2018-11-06,44,43
Ipsos,2018-03-14,2018-03-18,1274,RV,2018,House,2018-11-06,41.3,36.8
Ipsos,2018-03-14,2018-03-18,1556,A,2018,House,2018-11-06,36.4,31.2
Ipsos,2018-03-13,2018-03-17,1336,RV,2018,House,2018-11-06,40.9,37.4
Ipsos,2018-03-13,2018-03-17,1616,A,2018,House,2018-11-06,36.3,31.6
Ipsos,2018-03-12,2018-03-16,1381,RV,2018,House,2018-11-06,43.3,37
Ipsos,2018-03-12,2018-03-16,1687,A,2018,House,2018-11-06,37.7,31.7
Ipsos,2018-03-11,2018-03-15,1265,RV,2018,House,2018-11-06,44.6,34.5
Ipsos,2018-03-11,2018-03-15,1565,A,2018,House,2018-11-06,38.7,30.1
Ipsos,2018-03-10,2018-03-14,1218,RV,2018,House,2018-11-06,43.6,35.3
Ipsos,2018-03-10,2018-03-14,1485,A,2018,House,2018-11-06,38,30.2
Hart Research Associates/Public Opinion Strategies,2018-03-10,2018-03-14,930,RV,2018,House,2018-11-06,50,40
YouGov,2018-03-10,2018-03-13,1278,RV,2018,House,2018-11-06,43,38
Ipsos,2018-03-09,2018-03-13,1164,RV,2018,House,2018-11-06,43.2,34.8
Ipsos,2018-03-09,2018-03-13,1414,A,2018,House,2018-11-06,37.5,30.1
Ipsos,2018-03-08,2018-03-12,1216,RV,2018,House,2018-11-06,43.2,34.2
Ipsos,2018-03-08,2018-03-12,1469,A,2018,House,2018-11-06,37.1,30.2
Morning Consult,2018-03-08,2018-03-12,1997,RV,2018,House,2018-11-06,43,36
Ipsos,2018-03-07,2018-03-11,1534,RV,2018,House,2018-11-06,42.8,33.3
Ipsos,2018-03-07,2018-03-11,1861,A,2018,House,2018-11-06,36.7,29.9
Ipsos,2018-03-06,2018-03-10,2355,RV,2018,House,2018-11-06,41.1,36.9
Ipsos,2018-03-06,2018-03-10,2823,A,2018,House,2018-11-06,35.8,32.5
Ipsos,2018-03-05,2018-03-09,2853,RV,2018,House,2018-11-06,41.8,36.3
Ipsos,2018-03-05,2018-03-09,3420,A,2018,House,2018-11-06,36.8,31.8
Ipsos,2018-03-04,2018-03-08,2864,RV,2018,House,2018-11-06,41.8,36.8
Ipsos,2018-03-04,2018-03-08,3447,A,2018,House,2018-11-06,36.8,32.2
Lake Research Partners,2018-03-04,2018-03-08,1000,RV,2018,House,2018-11-06,49,40
Ipsos,2018-03-03,2018-03-07,2818,RV,2018,House,2018-11-06,42.5,36.5
Ipsos,2018-03-03,2018-03-07,3378,A,2018,House,2018-11-06,37.6,32
YouGov,2018-03-04,2018-03-06,1302,RV,2018,House,2018-11-06,43,37
Ipsos,2018-03-02,2018-03-06,2457,RV,2018,House,2018-11-06,43,36.1
Ipsos,2018-03-02,2018-03-06,2930,A,2018,House,2018-11-06,38.3,31.5
Quinnipiac University,2018-03-03,2018-03-05,1122,RV,2018,House,2018-11-06,48,38
Monmouth University,2018-03-02,2018-03-05,708,RV,2018,House,2018-11-06,50,41
Ipsos,2018-03-01,2018-03-05,1712,RV,2018,House,2018-11-06,44.4,34
Ipsos,2018-03-01,2018-03-05,2050,A,2018,House,2018-11-06,39.3,30
Morning Consult,2018-03-01,2018-03-05,1993,RV,2018,House,2018-11-06,44,37
Rasmussen (Pulse Opinion Research),2018-03-01,2018-03-04,1000,LV,2018,House,2018-11-06,46,40
Ipsos,2018-02-28,2018-03-04,1324,RV,2018,House,2018-11-06,44.4,34
Ipsos,2018-02-28,2018-03-04,1599,A,2018,House,2018-11-06,38.9,29.7
Ipsos,2018-02-27,2018-03-03,1273,RV,2018,House,2018-11-06,44.6,33.1
Ipsos,2018-02-27,2018-03-03,1532,A,2018,House,2018-11-06,39.5,29.1
Ipsos,2018-02-26,2018-03-02,1251,RV,2018,House,2018-11-06,43.9,32.7
Ipsos,2018-02-26,2018-03-02,1527,A,2018,House,2018-11-06,38.3,28.9
Ipsos,2018-02-25,2018-03-01,1224,RV,2018,House,2018-11-06,42.9,32.6
Ipsos,2018-02-25,2018-03-01,1488,A,2018,House,2018-11-06,37.7,28.5
Winston,2018-02-27,2018-02-28,1000,RV,2018,House,2018-11-06,46,42
SurveyMonkey,2018-02-26,2018-02-28,2857,A,2018,House,2018-11-06,44,37
Ipsos,2018-02-24,2018-02-28,1228,RV,2018,House,2018-11-06,43,33.6
Ipsos,2018-02-24,2018-02-28,1487,A,2018,House,2018-11-06,37.9,29.1
YouGov,2018-02-25,2018-02-27,1290,RV,2018,House,2018-11-06,40,38
Ipsos,2018-02-23,2018-02-27,1378,RV,2018,House,2018-11-06,41.8,35.3
Ipsos,2018-02-23,2018-02-27,1655,A,2018,House,2018-11-06,36.7,31.4
Ipsos,2018-02-22,2018-02-26,1539,RV,2018,House,2018-11-06,40.4,36.1
Ipsos,2018-02-22,2018-02-26,1860,A,2018,House,2018-11-06,36,31.8
Morning Consult,2018-02-22,2018-02-26,1992,RV,2018,House,2018-11-06,41,39
Ipsos,2018-02-21,2018-02-25,1606,RV,2018,House,2018-11-06,40.5,36.6
Ipsos,2018-02-21,2018-02-25,1957,A,2018,House,2018-11-06,35.9,32.1
Suffolk University,2018-02-20,2018-02-24,1000,RV,2018,House,2018-11-06,46.9,32.3
Ipsos,2018-02-20,2018-02-24,1739,RV,2018,House,2018-11-06,40.2,36.5
Ipsos,2018-02-20,2018-02-24,2116,A,2018,House,2018-11-06,36,31.9
SSRS,2018-02-20,2018-02-23,909,RV,2018,House,2018-11-06,54,38
Ipsos,2018-02-19,2018-02-23,1733,RV,2018,House,2018-11-06,40.3,36.1
